date,station,lat,lon,sst,anom,err,sst_roll_7d,sst_roll_14d,sst_roll_30d,sst_roll_90d,anom_roll_7d,anom_roll_14d,anom_roll_30d,sst_roc_3d,warm_degree_days_14d,above_avg
2023-12-26,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.25999927520752,0.7699999809265137,0.1599999964237213,13.481428146362305,13.502856731414795,13.535999647776286,14.314444128672282,0.9514285326004028,0.9235714035374778,0.7733333150545756,-0.09666665395100911,12.929999649524689,1
2023-12-27,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.469999313354492,0.9899999499320984,0.17999999225139618,13.455713817051478,13.510713849748884,13.536999638875326,14.286777453952366,0.9385713934898376,0.9464285458837237,0.7959999799728393,0.009999910990397135,13.249999642372131,1
2023-12-28,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.769999504089355,1.2999999523162842,0.17999999225139618,13.478570938110352,13.539999553135463,13.547999636332195,14.268999671936035,0.9728571091379438,0.9899999712194715,0.827666645248731,0.16666666666666666,13.859999597072601,1
2023-12-29,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.969999313354492,1.5099999904632568,0.19999998807907104,13.53285653250558,13.571428094591413,13.5656662940979,14.260999668969049,1.038571400301797,1.0349999708788735,0.8656666447718938,0.23666667938232422,14.48999959230423,1
2023-12-30,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.84999942779541,1.409999966621399,0.1599999964237213,13.57571370261056,13.57999951498849,13.577999623616536,14.25288855234782,1.094285683972495,1.0564285389014654,0.8983333110809326,0.1266667048136393,14.789999544620514,1
2023-12-31,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.799999237060547,1.3700000047683716,0.1599999964237213,13.627142224993024,13.594285215650286,13.586666266123453,14.244221878051757,1.1585714050701685,1.0828571106706346,0.9266666452089946,0.009999910990397135,15.159999549388885,1
2024-01-01,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.779999732971191,1.3700000047683716,0.1599999964237213,13.699999400547572,13.609999520438057,13.591666253407796,14.231777434878879,1.2457142642566137,1.111428541796548,0.9509999791781107,-0.06333319346110027,15.559999585151672,1
2024-01-02,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.699999809265137,1.2899999618530273,0.1599999964237213,13.762856619698661,13.622142383030482,13.592332935333252,14.213444105784099,1.319999975817544,1.1357142542089735,0.9699999789396921,-0.04999987284342448,15.899999558925629,1
2024-01-03,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.679999351501465,1.2899999618530273,0.1599999964237213,13.792856625148229,13.624285221099854,13.59466625849406,14.18955521053738,1.362857120377677,1.1507142569337572,0.9903333107630412,-0.039999961853027344,16.1099995970726,1
2024-01-04,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.670000076293945,1.2899999618530273,0.1599999964237213,13.778570992606026,13.62857096535819,13.594999599456788,14.162333001030817,1.3614285503114973,1.1671428297247206,1.0083333094914755,-0.036666552225748696,16.339999616146088,1
2024-01-05,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.630000114440918,1.2699999809265137,0.1599999964237213,13.729999678475517,13.631428105490548,13.589332962036133,14.136221896277533,1.3271428346633911,1.1828571174825941,1.0199999769528707,-0.023333231608072918,16.559999644756317,1
2024-01-06,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.59000015258789,1.2400000095367432,0.1599999964237213,13.692856924874443,13.6342853137425,13.58433297475179,14.110888565911187,1.3028571265084403,1.1985714052404677,1.031666644414266,-0.029999732971191406,16.779999673366547,1
2024-01-07,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.380000114440918,1.0399999618530273,0.1599999964237213,13.632857050214495,13.62999963760376,13.57466630935669,14.087221908569337,1.2557142632348197,1.2071428341524941,1.0383333106835684,-0.09666665395100911,16.899999678134918,1
2024-01-08,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.15999984741211,0.8299999833106995,0.1599999964237213,13.544285637991768,13.622142519269671,13.560999647776287,14.063666354285346,1.1785714030265808,1.2121428336415971,1.040666643778483,-0.15666675567626953,16.96999967098236,1
2024-01-09,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.960000038146973,0.6399999856948853,0.1599999964237213,13.438571384974889,13.600714002336774,13.543666330973307,14.036555247836644,1.0857142635754176,1.2028571196964808,1.0386666436990102,-0.21000003814697266,16.839999675750732,1
2024-01-10,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.799999237060547,0.5,0.1599999964237213,13.3128570829119,13.552856854030065,13.519666322072347,14.00855524275038,0.9728571261678424,1.1678571232727595,1.029666644334793,-0.19333362579345703,16.349999725818634,1
2024-01-11,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.619999885559082,0.32999998331069946,0.1599999964237213,13.162857055664062,13.470714024135045,13.495666313171387,13.979444132910835,0.8357142720903669,1.0985714112009322,1.0199999769528707,-0.17999998728434244,15.37999975681305,1
2024-01-12,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.5,0.2199999988079071,0.1599999964237213,13.001428467886788,13.365714073181152,13.466999657948811,13.951666355133057,0.6857142746448517,1.0064285546541214,1.0049999783436456,-0.15333334604899088,14.0899997651577,1
2024-01-13,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.329999923706055,0.05999999865889549,0.17000000178813934,12.821428435189384,13.257142680031913,13.432666333516439,13.923888577355278,0.5171428445194449,0.9099999855139426,0.9839999783784151,-0.15666643778483072,12.739999797195196,1
2024-01-14,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.15999984741211,-0.09999999403953552,0.1599999964237213,12.647142682756696,13.139999866485596,13.38699967066447,13.892888577779134,0.35428570796336445,0.804999985599092,0.9513333120693763,-0.15333334604899088,11.369999792426825,0
2024-01-15,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.239999771118164,-0.009999999776482582,0.1599999964237213,12.51571410042899,13.02999986921038,13.337333011627198,13.856221908993192,0.23428571037948132,0.7064285567030311,0.9139999782666564,-0.08666674296061198,9.999999787658453,0
