week_start,station,sample_date,latitude,longitude,month,year,pda,temp,silicate,nitrate,avg_chloro,potential_bloom,sst_roll_14d,anom_roll_14d,sst_roc_3d,warm_degree_days_14d,above_avg,temp_lag1,temp_lag2,silicate_lag1,silicate_lag2,nitrate_lag1,nitrate_lag2,avg_chloro_lag1,avg_chloro_lag2,silicate_nitrate_ratio,isHarmful,station_id,wind_speed_mps,wave_height_m,dominant_period_s,mean_wave_dir_deg,atm_pressure_hpa,air_temp_c,sea_surface_temp_c
2026-02-16,Bodega Marine Lab,2026-02-18 22:37:00,38.31613,-123.0705,2,2026,,13.7,,,,,13.26928540638515,1.3649999712194716,-0.05666637420654297,1.7432230101691335,0.0,14.0,13.9,,,,,,,,,46013,,,,,,,
2026-02-16,Cal Poly Pier,2026-02-22 17:50:00,35.170204,-120.740685,2,2026,0.0,14.45,,,1.1949999999999998,0,15.064999784742083,1.7314285465649195,-0.14999993642171225,0.04311138788859026,0.0,15.1,14.5,,,,,1.64,2.05,,0,46011,,,,,,,
2026-02-16,Monterey Wharf,2026-02-17 16:32:00,36.603683,-121.889275,2,2026,,13.5,,,,,14.072856903076172,1.574999954019274,-0.06333319346110027,0.0,0.0,14.3,13.8,,,,,,,,,46042,,,,,,,
2026-02-16,Santa Cruz Wharf,2026-02-18 16:30:00,36.958,-122.017,2,2026,0.0,13.3,,,1.45,0,13.95857116154262,1.55571425812585,-0.060000101725260414,0.01888931062486421,0.0,13.9,14.0,,,,,1.95,1.25,,0,46042,,,,,,,
2026-02-16,Santa Monica Pier,2026-02-16 19:00:00,34.008,-118.499,2,2026,0.0,16.2,,,,0,,,,,0.0,18.0,17.0,,,,,,,,0,46025,,,,,,,
2026-02-16,Scripps Pier,2026-02-17 20:01:00,32.867,-117.257,2,2026,0.0,16.7,,,0.61,0,16.80571392604283,1.8392856802259172,-0.12333361307779948,0.21588834126790246,0.0,17.5,17.0,,,,,0.52,0.3,,0,46086,,,,,,,
2026-02-16,Stearns Wharf,2026-02-16 15:59:00,34.408043,-119.68485,2,2026,0.0,16.6,,,,0,15.729999610355922,1.7642856708594732,-0.206666628519694,0.0,0.0,16.3,15.6,,,,,,,,0,46053,,,,,,,
2026-02-23,Bodega Marine Lab,2026-02-23 20:13:00,38.31613,-123.0705,2,2026,,13.4,,,,,13.189285346439906,1.314285695552826,0.24666659037272134,2.2683322800530306,1.0,13.7,14.0,,,,,,,,,46013,,,,,,,
2026-02-23,Cal Poly Pier,2026-03-01 17:58:00,35.170204,-120.740685,2,2026,0.0,15.2,,,1.64,0,14.739285469055176,1.4378570914268494,0.01999982198079427,0.0,0.0,14.45,15.1,,,,,1.1949999999999998,1.64,,0,46011,,,,,,,
2026-02-23,Monterey Wharf,2026-02-24 16:20:00,36.603683,-121.889275,2,2026,,13.9,,,,,14.034285340990339,1.5657142400741577,0.07666651407877605,0.4772214783562543,1.0,13.5,14.3,,,,,,,,,46042,,,,,,,
2026-02-23,Newport Beach Pier,2026-02-23 18:30:00,33.6061,-117.9311,2,2026,0.0,15.0,,,3.96,0,16.06357111249651,1.3699999664511,0.19333362579345703,0.0,0.0,16.0,16.0,,,,,3.29,2.87,,0,46025,,,,,,,
2026-02-23,Santa Cruz Wharf,2026-02-25 16:30:00,36.958,-122.017,2,2026,0.0,14.1,,,3.97,0,13.91857113157,1.5478571057319641,0.10999997456868489,0.7567772971259217,1.0,13.3,13.9,,,,,1.45,1.95,,0,46042,,,,,,,
2026-02-23,Santa Monica Pier,2026-02-23 20:30:00,34.008,-118.499,2,2026,0.0,17.8,,,,0,,,,,0.0,16.2,18.0,,,,,,,,0,46025,,,,,,,
