Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-01-25T19:45:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,316.0,1620.0,2061.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-02-28T19:41:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,118.0,299.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-03-28T20:28:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2511.0,0.0,2524.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-04-24T19:58:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,341.0,11.0,361.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-05-21T19:05:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,95.0,614.0,0.0,0.0,24.0,33713.0,95.0,34540.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-07-12T20:36:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,726.0,396.0,22.0,0.0,99.0,55.0,0.0,0.0,0.0,187.0,572.0,1056.0,3112.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-07-31T18:25:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.0,68.0,46.0,0.0,46.0,2646.0,0.0,0.0,0.0,11.0,13926.0,171.0,16982.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-08-30T01:34:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.0,278.0,104.0,115.0,58.0,3669.0,58.0,116.0,0.0,255.0,5579.0,532.0,10843.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-09-30T19:56:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,131.0,0.0,354.0,0.0,6.0,6957.0,0.0,268.0,74.0,108.0,7898.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-10-30T18:16:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,6.0,0.0,386.0,0.0,31.0,1714.0,0.0,0.0,100.0,0.0,2237.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2024-12-17T20:15:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,15631.0,0.0,0.0,5584.0,0.0,0.0,150.0,0.0,21365.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-01-30T18:43:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,11.0,0.0,946.0,0.0,0.0,12954.0,0.0,0.0,61.0,234.0,14207.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-02-24T16:32:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,178621.0,2742.0,181425.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-03-18T19:52:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,156.0,70.0,453.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-05-15T20:16:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,278.0,0.0,1111.0,0.0,0.0,0.0,31645.0,93.0,33126.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-06-30T22:05:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,102.0,512.0,0.0,0.0,0.0,47662.0,1177.0,49454.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-07-31T20:26:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,763.0,78.0,12.0,0.0,78.0,12.0,107.0,6.0,0.0,108.0,7452.0,54.0,8666.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-09-26T17:35:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,445.0,36.0,156.0,0.0,307.0,12.0,12.0,1286.0,0.0,0.0,1136.0,589.0,3978.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-10-27T18:32:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.0,0.0,87.0,0.0,1369.0,0.0,53.0,1923.0,654.0,0.0,1362.0,154.0,5629.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-11-25T18:10:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,208.0,24.0,4.0,276.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2025-12-30T15:59:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,37.0,44.0,0.0,0.0,0.0,729.0,0.0,810.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2026-01-30T16:35:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,100.0,623.0,0.0,0.0,0.0,45222.0,0.0,45945.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2026-03-03T19:26:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,62.0
